nom,secteur,type_structure,adresse,ville,telephone,email_general,besoin_alternant,statut,date_premier_contact,date_prochaine_relance,responsable_nom,commentaire,nombre_postes,formations_recherchees,profil_recherche,numero_idcc,campagne,created_at_notion
Marie Blachere,Boulangerie,,,Livry gargand,01 43 10 37 44,livry@marieblachere.fr,False,PARTENAIRE_ACTIF,,2026-03-09,Lylian STURM,,0,BTS MCO,,,,
Burger King,,,,Trappes,06 19 38 20 24,r.demonfaucon@jtmph.fr,False,PARTENAIRE_ACTIF,,,,,0,"BTS MCO, BTS NDRC",,,Janvier 2026,
AVENSIA BUSINESS SCHOOL,,,,Trappes,06 46 29 50 60,farid.brini@avensiabusinessschool.com,False,PARTENAIRE_ACTIF,,2025-12-29,Farid BRINI,,3,"BTS NDRC, RH",,,,
KB BERLINER,,,,Guyancourt,01 85 40 09 99,lekb78280@gmail.com,False,PARTENAIRE_ACTIF,,,,,0,"BTS MCO, BTS NDRC",,,,
SQUID PARC,,,,,,,False,PARTENAIRE_ACTIF,,,,,0,,,,,
BOUYGUES TELECOM,,,,,06 68 63 96 35,marnelavalleetelephonie@gmail.com,False,PARTENAIRE_ACTIF,,,,,0,BTS NDRC,,,,
AURIZEO,,,,Trappes,06 83 02 88 88,laurent.lapierre@aurizeo.com,False,PARTENAIRE_ACTIF,,,,,0,BTS NDRC,,,,
BESSONS CHAUSSURES,,,,Plaisirs,06 59 03 16 30,wni@hotmail.fr,False,PARTENAIRE_ACTIF,,,,,0,BTS MCO,,,,
PLATANE,,,,Trappes,06 59 66 93 77,,False,PARTENAIRE_ACTIF,,,,,0,"BTS MCO, BTS NDRC",,,,
HUGO BOSS,,,,Paris 8,06 68 90 14 85,jimmy_castanheira@hugoboss.com,False,PARTENAIRE_ACTIF,,,,,0,BTS MCO,,,,
BOULANGERIE FEUILLETTE,,,,Vernouillet,07 56 38 80 56,recrutement.feuillette.28@gmail.com,False,PARTENAIRE_ACTIF,,,,,0,BTS MCO,,,,
NILS MAILS,,,,Noisy le grand,06 65 56 51 88,cheasila21@gmail.com,False,PARTENAIRE_ACTIF,,,,,0,BTS MCO,,,,
Cashville,Achat / objet occasion,TPE,Mon Grand Plaisir,Plaisir,09 75 23 08 77,textplaisir@gmail.com,False,BESOIN_OUVERT,2025-10-29,2026-03-31,Lylian STURM,Pas besoin d’alternant mais envoyer un mail pour proposer nos formations,0,"BTS MCO, BTS NDRC",,,Février 2026,
C courrir,Sportif,,,Plaisir,01 75 64 32 01,,False,NOUVEAU,2025-10-29,2025-11-14,Soukeina N'DIAYE,Appeler le siège de c courir ( pas de réponse pour l’instant ),0,"BTS MCO, BTS NDRC",,,Mai 2026,
Edji,Prêt-à-porter,,,Plaisir,01 39 44 03 72,aureliecarboneil@armenthiery.fr,False,AUCUN_BESOIN,2025-11-13,2025-11-28,Soukeina N'DIAYE,Pas besoin d’alternant mais envoyer un mail pour proposer nos formations | envoyer un mail ( fait ),0,,,,,
Jules,Prêt-à-porter,,Mon Grand Plaisir,Plaisir,01 88 11 90 43,,True,A_CONTACTER,2025-10-29,2026-01-29,Lylian STURM,,1,BTS MCO,Personne motivée qui est présent en cours et qui est force de proposition en entreprise avec le sourire,,Janvier 2026,
Tape a l’oeil,Prêt-à-porter,,Mon Grand Plaisir,Plaisir,O1 34 59 44 93,,False,A_CONTACTER,2025-10-29,2026-01-28,Lylian STURM,Pas avant 2027,0,,,,,
